,Brand Name,Smartphone Name,color,RAM,Storage/ROM,primary Camera,Secondary Camera,Display size,Display Resolution,Processor,Processor-core,Battery Capacity,Price,Product url
0,realme ,"realme C21 (Cross Blue, 64 GB)  (4 GB RAM)",Cross Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Battery,"Rs. 9,499",https://www.flipkart.com/realme-c21-cross-blue-64-gb/p/itmf4062d3f37c1a?pid=MOBGF4895YRNAHFZ&lid=LSTMOBGF4895YRNAHFZ3XABXU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=ae20d71a-25c2-4f0b-9b0a-3e712e08eb49.MOBGF4895YRNAHFZ.SEARCH&ppt=hp&ppn=homepage&ssid=vd3q1bbk800000001630076783773&qH=1036ba3c4ed2c021
1,REDMI ,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",Midnight Black,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Battery,"Rs. 8,499",https://www.flipkart.com/redmi-9i-midnight-black-64-gb/p/itm0e1018dac2627?pid=MOBFV8RYKWQ3HACE&lid=LSTMOBFV8RYKWQ3HACEV2QOWQ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=ae20d71a-25c2-4f0b-9b0a-3e712e08eb49.MOBFV8RYKWQ3HACE.SEARCH&ppt=hp&ppn=homepage&ssid=vd3q1bbk800000001630076783773&qH=1036ba3c4ed2c021
2,realme ,"realme C21 (Cross Black, 32 GB)  (3 GB RAM)",Cross Black,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Battery,"Rs. 8,499",https://www.flipkart.com/realme-c21-cross-black-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489EUA5PEBK&lid=LSTMOBGF489EUA5PEBKOSO80O&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=ae20d71a-25c2-4f0b-9b0a-3e712e08eb49.MOBGF489EUA5PEBK.SEARCH&ppt=hp&ppn=homepage&ssid=vd3q1bbk800000001630076783773&qH=1036ba3c4ed2c021
3,I Kall ,"I Kall Z1 (Dark Blue, 32 GB)  (4 GB RAM)",Dark Blue,4 GB,32 GB,8MP Rear Camera,5MP Front Camera,13.84 cm (5.45 inch),480 x 960$$pixel,Quad Core,1.3 GHz,5000 mAh Battery,"Rs. 5,499",https://www.flipkart.com/kall-z1-dark-blue-32-gb/p/itm428c7000e1f5d?pid=MOBG5MDRFN8GNHMG&lid=LSTMOBG5MDRFN8GNHMGQUNIYZ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=en_I5KLPyBhPsWBwMTObfBWBnVntJVkIzGUc2VK2fIIQ94Zx0e91TpQ%2FO9Zg4%2BpnhrP%2FphRGtXO1js2Qlg0r3CJ7A%3D%3D&ppt=hp&ppn=homepage&ssid=vd3q1bbk800000001630076783773&qH=1036ba3c4ed2c021
4,realme ,"realme C21 (Cross Black, 64 GB)  (4 GB RAM)",Cross Black,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Battery,"Rs. 9,499",https://www.flipkart.com/realme-c21-cross-black-64-gb/p/itmf4062d3f37c1a?pid=MOBGF489G9HRWFZ9&lid=LSTMOBGF489G9HRWFZ9BYFZCR&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=ae20d71a-25c2-4f0b-9b0a-3e712e08eb49.MOBGF489G9HRWFZ9.SEARCH&ppt=hp&ppn=homepage&ssid=vd3q1bbk800000001630076783773&qH=1036ba3c4ed2c021
5,realme ,"realme C21 (Cross Blue, 32 GB)  (3 GB RAM)",Cross Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Battery,"Rs. 8,499",https://www.flipkart.com/realme-c21-cross-blue-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489MNZGABVJ&lid=LSTMOBGF489MNZGABVJ28ZM4B&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=ae20d71a-25c2-4f0b-9b0a-3e712e08eb49.MOBGF489MNZGABVJ.SEARCH&ppt=hp&ppn=homepage&ssid=vd3q1bbk800000001630076783773&qH=1036ba3c4ed2c021
6,realme ,"realme C25s (Watery Grey, 128 GB)  (4 GB RAM)",Watery Grey,4 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 11,499",https://www.flipkart.com/realme-c25s-watery-grey-128-gb/p/itm3546940d1cedb?pid=MOBG39HUYERMXR2C&lid=LSTMOBG39HUYERMXR2CMK160X&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=ae20d71a-25c2-4f0b-9b0a-3e712e08eb49.MOBG39HUYERMXR2C.SEARCH&ppt=hp&ppn=homepage&ssid=vd3q1bbk800000001630076783773&qH=1036ba3c4ed2c021
7,I Kall ,"I Kall Z2 (Blue, 32 GB)  (4 GB RAM)",Blue,4 GB,32 GB,8MP Rear Camera,5MP Front Camera,15.9 cm (6.26 inch),480 x 1014$$pixel,Quad Core,1.3 GHz,5000 mAh Battery,"Rs. 6,599",https://www.flipkart.com/kall-z2-blue-32-gb/p/itm0b68d2f588212?pid=MOBG5QSG9GB9DZWA&lid=LSTMOBG5QSG9GB9DZWAYSUCI5&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=en_I5KLPyBhPsWBwMTObfBWBnVntJVkIzGUc2VK2fIIQ95DrmdYlLzXIvMKPluCKbUPD%2BQ4k5ynogKNLqE%2BsVISdQ%3D%3D&ppt=hp&ppn=homepage&ssid=vd3q1bbk800000001630076783773&qH=1036ba3c4ed2c021
8,realme ,"realme C25s (Watery Blue, 128 GB)  (4 GB RAM)",Watery Blue,4 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 11,499",https://www.flipkart.com/realme-c25s-watery-blue-128-gb/p/itm3546940d1cedb?pid=MOBG39HUJTFZJXJ8&lid=LSTMOBG39HUJTFZJXJ8CAQXYD&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=ae20d71a-25c2-4f0b-9b0a-3e712e08eb49.MOBG39HUJTFZJXJ8.SEARCH&ppt=hp&ppn=homepage&ssid=vd3q1bbk800000001630076783773&qH=1036ba3c4ed2c021
9,REDMI ,"REDMI 9i (Sea Blue, 64 GB)  (4 GB RAM)",Sea Blue,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Battery,"Rs. 8,499",https://www.flipkart.com/redmi-9i-sea-blue-64-gb/p/itmfb30d06b478fc?pid=MOBFV8RYTHGA8BY9&lid=LSTMOBFV8RYTHGA8BY94NDC4M&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=ae20d71a-25c2-4f0b-9b0a-3e712e08eb49.MOBFV8RYTHGA8BY9.SEARCH&ppt=hp&ppn=homepage&ssid=vd3q1bbk800000001630076783773&qH=1036ba3c4ed2c021
